Study,Author,Year,Order,Genus,Species,Structure,Region,Suffix,n,Freq,Max vertebral age,Min validated,Max validated,Max actual age,Age underestimation,Magnitude min,Magnitude max,Magnitude mean,Method,Method2,Method3,Worked,Captive,Rationale,Comment
8,Passerotti et al,2010,Carcharhiniformes,Sphyrna,Sphyrna mokarran,Vert-section,NWA,,2,Annual,42,0,42,,No,,,,Bomb radiocarbon,NA,NA,Yes,No,,
9,McAuley et al,2006,Carcharhiniformes,Carcharhinus,Carcharhinus plumbeus,Vert-section,AUS/NZ,,22,Annual,25,3,17,,No,,,,Chemical,NA,NA,Yes,No,,
10,Simpfendorfer et al ,2002,Carcharhiniformes,Carcharhinus,Carcharhinus obscurus,Vert-section,AUS/NZ,,34,Annual,32,0,4,,No,,,,Chemical,NA,NA,Yes,No,,
11,Natanson et al,2014,Carcharhiniformes,Carcharhinus,Carcharhinus obscurus,Vert-section,NWA,,8,Annual,23,0,11,42,Yes,15,19,17,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature,
12,Hamaday et al,2014,Lamniformes,Carcharadon,Carcharadon carcharias,Vert-section,NWA,,8,Annual,52,0,44,73,Yes,7,21,14,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature,
13,Andrews and Kerr,2015,Lamniformes,Carcharadon,Carcharadon carcharias,Vert-section,NEP,,8,Annual,18,0,7,37,Yes,9,20,12.33,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature. Re-analysis of Kerr et al (2006),
14,Kneebone et al,2008,Carcharhiniformes,Galeocerdo,Galeocerdo cuvier,Vert-section,NWA,,4,Annual,22,0,20,,Maybe,,,,Bomb radiocarbon,NA,NA,Yes,No,"Phase-shift noted in one specimen, attributed to ontogenetic diet and depth changes",
15,Andrews et al,2011,Carcharhiniformes,Carcharhinus,Carcharhinus plumbeus,Vert-section,NWA,,5,Annual,27,0,10,33,Yes,4,11,8.33,Bomb radiocarbon,Tagging,NA,Yes,No,Phase-shifted C14 signature,Max vertebral age from Hale and Baremore (2013) and max actual age based on tagging
15,Andrews et al,2011,Carcharhiniformes,Carcharhinus,Carcharhinus plumbeus,Vert-section,NWA,,1,Annual,27,2,12,33,No,,,,Chemical,Tagging,NA,Yes,No,,Max vertebral age from Hale and Baremore (2013) and max actual age based on tagging
16,Natanson et al,2016,Lamniformes,Alopias,Alopias vulpinus,Vert-section,NWA,,3,Annual,20,0,14,38,Yes,3,18,10.5,Bomb radiocarbon,NA,NA,Yes,No,Phase-shifted C14 signature,
